PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.2.2;Checks if running Amazon Elastic Compute Cloud (EC2) instances are launched using amazon key pairs;8.2.2: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;ec2;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.2.4;Checks whether IAM groups have at least one IAM user;8.2.2: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.2.7;Checks whether IAM users are members of at least one IAM group;8.2.2: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.4.1;Checks if running Amazon Elastic Compute Cloud (EC2) instances are launched using amazon key pairs;8.2.4: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;ec2;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.4.2;Checks whether IAM groups have at least one IAM user;8.2.4: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.4.5;Checks whether IAM users are members of at least one IAM group;8.2.4: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.5.1;Checks if running Amazon Elastic Compute Cloud (EC2) instances are launched using amazon key pairs;8.2.5: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;ec2;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.5.2;Checks whether IAM groups have at least one IAM user;8.2.5: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.5.5;Checks whether IAM users are members of at least one IAM group;8.2.5: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.6.1;Checks whether IAM groups have at least one IAM user;8.2.6: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.7.2;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;8.2.7: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.7.7;Checks if the inline policy feature is not in use;8.2.7: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.7.22;Checks if the Shield Response Team (SRT) can access your AWS account;8.2.7: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.8.3;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;8.2.8: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.8.9;Checks if the inline policy feature is not in use;8.2.8: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-07-10 20:19:58.778743;8.2.8.24;Checks if the Shield Response Team (SRT) can access your AWS account;8.2.8: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
